# Generated by orchestrator 2026-07-21 14:11 — loop: for each section-subtree, grep -rln <primitive> <paths>
# BADGE COLUMN CORRECTED (2026-07-21 16:15): grep -rln "components/manager/Badge" <subtree> (NOT BadgeRow substrings)
# Corrected values: play 0, quizz 1, catalog 1, klassen 1, schueler 1, media 2, results 0, submissions 2, profile 0, gamemode 1, ki 2, achievements 1, running 0, users 1, design 0, labels 0, satellite 0, dev 2
section	key	paths	PageHeader	ListRow	SelectableRow	EmptyState	SectionCard	FilterPill	Badge	AlertDialog	DialogPanel	OverflowMenu	ActionFooter	FormSection	LabelRow	ToggleField
Spielen	play	packages/web/src/features/manager/components/configurations/ConfigSelectQuizz.tsx	0	0	1	1	0	0	0	0	0	0	1	0	0	1
Quiz	quizz	packages/web/src/features/manager/components/configurations/quizzes	0	1	0	1	0	1	1	2	0	1	1	0	0	0
Katalog	catalog	packages/web/src/features/manager/components/configurations/catalog	1	1	0	1	0	1	1	1	0	0	1	0	0	0
Klassen	klassen	packages/web/src/features/manager/components/configurations/klassen	0	1	0	1	0	0	1	1	1	1	1	0	0	0
Schueler	schueler	packages/web/src/features/manager/components/configurations/schueler	1	1	0	1	0	0	1	1	2	0	1	0	0	0
Medien	media	packages/web/src/features/manager/components/configurations/ConfigMedia	1	0	0	1	0	1	2	2	0	0	0	0	0	0
Ergebnisse	results	packages/web/src/features/manager/components/configurations/ConfigResults.tsx	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Vorschlaege	submissions	packages/web/src/features/manager/components/configurations/submissions	0	0	0	1	0	1	2	1	0	0	0	0	0	0
Profile	profile	packages/web/src/features/manager/components/configurations/ConfigProfile.tsx	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Modus	gamemode	packages/web/src/features/manager/components/configurations/ConfigGameMode.tsx	0	0	0	0	0	1	1	0	0	0	0	1	0	1
KI	ki	packages/web/src/features/manager/components/configurations/ai	0	0	0	1	3	0	2	0	0	0	1	1	3	0
Achievements	achievements	packages/web/src/features/manager/components/configurations/ConfigAchievements	0	0	0	0	1	0	1	0	0	0	1	0	0	0
LaufendeSpiele	running	packages/web/src/features/manager/components/console/RunningGamesSection.tsx	0	1	0	1	1	0	0	1	0	0	0	0	0	0
Nutzer	users	packages/web/src/features/manager/components/configurations/ConfigUsers.tsx	0	1	0	1	0	0	1	1	0	1	1	0	0	0
Design	design	packages/web/src/features/manager/components/configurations/theme packages/web/src/features/manager/components/configurations/theme-preview	0	0	0	1	2	0	0	2	0	0	1	1	1	0
Labels	labels	packages/web/src/features/manager/components/configurations/labels	0	0	0	0	0	0	0	1	2	0	1	0	0	0
Satellit	satellite	packages/web/src/features/manager/components/configurations/ConfigDisplay.tsx	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dev	dev	packages/web/src/features/manager/components/configurations/ConfigDev	0	3	0	2	4	0	2	0	0	0	0	0	0	0
